country,iso_code,date,total_vaccinations,people_fully_vaccinated,daily_vaccinations,vaccines,location_x,population_x,location_y,total_cases,total_deaths,stringency_index,population_y,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,prop_people_fully_vaccinated
United Kingdom,GBR,2021-04-21,44450252.0,11192601.0,498850.0,"Oxford/AstraZeneca, Pfizer/BioNTech",United Kingdom,67886004.0,United Kingdom,1380207.5245535714,58589.585956416464,66.91798185941053,67886004.0,272.8980000000009,40.799999999999656,18.51699999999988,12.527000000000038,39753.24400000034,0.20000000000000165,122.13700000000071,4.279999999999977,20.0,24.700000000000095,,2.539999999999984,81.31999999999975,0.932000000000003,0.16487346935312322
Hungary,HUN,2021-04-22,4999342.0,1490478.0,72685.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Hungary,9660350.0,Hungary,167860.821686747,5558.3638613861385,62.527250608272624,9660350.0,108.04299999999988,43.39999999999989,18.577000000000165,11.976000000000008,26777.561000000114,0.5,278.2960000000013,7.550000000000042,26.799999999999905,34.799999999999756,,7.019999999999984,76.88000000000031,0.8540000000000004,0.15428819866775012
Aruba,ABW,2021-04-20,43945.0,16434.0,,Pfizer/BioNTech,Aruba,106766.0,Aruba,,,56.48000000000001,106766.0,584.7999999999997,41.20000000000002,13.085,7.451999999999999,35973.78099999999,,,11.620000000000003,,,,,76.28999999999998,,0.15392540696476406
Singapore,SGP,2021-04-18,2213888.0,849764.0,45530.0,"Moderna, Pfizer/BioNTech",Singapore,5850343.0,Singapore,42111.41447368421,25.33668341708543,50.17578366445936,5850343.0,7915.7310000000425,42.400000000000006,12.921999999999883,7.048999999999981,85535.38300000066,,92.24300000000004,10.989999999999876,5.200000000000003,28.299999999999816,,2.3999999999999906,83.62000000000008,0.9379999999999923,0.1452502870344525
Uruguay,URY,2021-04-22,1529024.0,428084.0,39891.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Uruguay,3473727.0,Uruguay,21281.834975369457,239.7468030690537,55.58507462686594,3473727.0,19.751000000000147,35.60000000000024,14.65499999999998,10.360999999999962,20551.40899999999,0.10000000000000075,160.7079999999991,6.92999999999997,14.0,19.899999999999853,,2.7999999999999785,77.90999999999987,0.8170000000000031,0.12323478500181505
Maldives,MDV,2021-04-21,349757.0,62586.0,6572.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Maldives,540542.0,Maldives,9671.255474452555,36.02506963788301,,540542.0,1454.4330000000016,30.60000000000022,4.119999999999959,2.875,15183.616000000091,,164.90499999999918,9.190000000000047,2.1000000000000147,55.0,95.8029999999999,,78.91999999999916,0.7400000000000042,0.11578378738377407
Morocco,MAR,2021-04-22,8914956.0,4207298.0,26644.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Morocco,36910558.0,Morocco,205136.81774580336,3638.361858190709,68.79157534246544,36910558.0,80.08000000000091,29.60000000000023,6.7689999999999335,4.209000000000013,7485.012999999943,1.0,419.14600000000013,7.139999999999984,0.8000000000000065,47.09999999999989,,1.1000000000000087,76.68000000000025,0.6860000000000012,0.11398630169720003
Faeroe Islands,FRO,2021-04-22,15531.0,5249.0,175.0,"Moderna, Pfizer/BioNTech",Faeroe Islands,48865.0,Faeroe Islands,,,46.34797297297301,48865.0,35.308,,,,,,,,,,,,80.67000000000004,,0.10741839762611276
Iceland,ISL,2021-04-22,113330.0,32609.0,2325.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Iceland,341250.0,Iceland,3541.6761904761906,17.371859296482413,45.30505995203861,341250.0,3.403999999999997,37.29999999999972,14.430999999999887,9.20699999999997,46482.95800000025,0.20000000000000157,117.99199999999895,5.309999999999959,14.300000000000109,15.199999999999887,,2.9100000000000046,82.99000000000053,0.949000000000008,0.09555750915750916
Denmark,DNK,2021-04-21,1691219.0,549173.0,29235.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Denmark,5792203.0,Denmark,78357.30878859857,1043.8098765432098,53.543400900900785,5792203.0,136.51999999999873,42.29999999999965,19.67699999999985,12.324999999999898,46682.5150000003,0.20000000000000162,114.76699999999984,6.409999999999984,19.30000000000009,18.800000000000107,,2.5,80.90000000000067,0.939999999999998,0.09481245736725732
