country,total_cases,total_deaths,population,proportionate_total_cases,proportionate_total_deaths
Argentina,2796768.0,60620.0,45195777.0,0.061881179739425654,0.0013412757568035615
Monaco,2423.0,31.0,39244.0,0.06174192233207624,0.0007899296707776986
Kuwait,262766.0,1493.0,4270563.0,0.06152959223409185,0.00034960261679783207
Moldova,248009.0,5668.0,4033963.0,0.06148023668040584,0.0014050699027234508
Latvia,113561.0,2088.0,1886202.0,0.06020617091912743,0.0011069864203303783
Chile,1148320.0,25532.0,19116209.0,0.060070487825279587,0.0013356204674263605
Bosnia and Herzegovina,194371.0,8164.0,3280815.0,0.05924473034901389,0.0024884060820253504
Bulgaria,392913.0,15618.0,6948445.0,0.05654689646388508,0.0022476971466277706
Palestine,287680.0,3115.0,5101416.0,0.05639218601266786,0.0006106147783282132
Romania,1039998.0,26943.0,19237682.0,0.054060463209652805,0.0014005325589642244
Colombia,2720619.0,70026.0,50882884.0,0.05346825466889809,0.0013762191624201176
Turkey,4501382.0,37329.0,84339067.0,0.05337244245303306,0.00044260627165818657
Kosovo,102720.0,2115.0,1932774.0,0.053146410289045695,0.0010942821043743345
Peru,1734606.0,58604.0,32971846.0,0.05260870137510651,0.0017773951752655887
Seychelles,5170.0,26.0,98340.0,0.052572706935123045,0.00026438885499288184
United Arab Emirates,504872.0,1565.0,9890400.0,0.05104667151985764,0.0001582342473509666
Uruguay,175891.0,2160.0,3473727.0,0.05063466415178856,0.0006218105222431123
Maldives,27084.0,71.0,540542.0,0.05010526471578527,0.00013134964535595754
Ireland,245310.0,4866.0,4937796.0,0.049680059686548414,0.000985459909643898
Ukraine,2043901.0,43041.0,43733759.0,0.04673508627511301,0.0009841596282633743
Costa Rica,235274.0,3125.0,5094114.0,0.0461854603175351,0.0006134530950818926
Albania,130114.0,2364.0,2877800.0,0.0452130099381472,0.000821460838140246
Denmark,246455.0,2468.0,5792203.0,0.04254944103305772,0.00042609003862606335
Germany,3254609.0,81203.0,83783945.0,0.0388452584800107,0.0009691952318549812
Cape Verde,21500.0,199.0,555988.0,0.03866989935034569,0.0003579213939869206
Belarus,348486.0,2463.0,9449321.0,0.03687947525541782,0.00026065364908229915
Paraguay,260382.0,5633.0,7132530.0,0.036506260751794944,0.0007897618376648959
Oman,185278.0,1942.0,5106622.0,0.036281910037594324,0.0003802905325673214
Russia,4682573.0,105328.0,145934460.0,0.0320868217143504,0.00072174865347088
Belize,12596.0,320.0,397621.0,0.03167840732758079,0.0008047864675155488
Greece,326395.0,9788.0,10423056.0,0.03131471230702397,0.0009390719957755192
Canada,1164108.0,23810.0,37742157.0,0.030843706150658002,0.0006308595452029941
Azerbaijan,307980.0,4274.0,10139175.0,0.03037525242438364,0.00042153331015590517
Iran,2335905.0,68366.0,83992953.0,0.027810725978404404,0.0008139492369080058
South Africa,1571348.0,53995.0,59308690.0,0.02649439736402878,0.0009104062153455083
Libya,174216.0,2936.0,6871287.0,0.025354202204041252,0.00042728531059756347
Bolivia,294391.0,12758.0,11673029.0,0.02521976086926538,0.001092946826397844
Iraq,1010304.0,15128.0,40222503.0,0.02511787990916428,0.0003761078717552709
Bahamas,9868.0,194.0,393248.0,0.025093579624054032,0.0004933273659370168
Tunisia,294138.0,10063.0,11818618.0,0.024887681453110676,0.0008514531902122566
Saint Lucia,4455.0,70.0,183629.0,0.02426087382711881,0.0003812034046909802
