country,total_vaccinations,people_fully_vaccinated,vaccines
Greenland,12434.0,4298.0,Pfizer/BioNTech
Liechtenstein,8860.0,2984.0,"Moderna, Pfizer/BioNTech"
Honduras,57639.0,2639.0,"Moderna, Oxford/AstraZeneca"
Guatemala,162110.0,1828.0,"Moderna, Oxford/AstraZeneca"
Sierra Leone,44347.0,1781.0,Oxford/AstraZeneca
Falkland Islands,4407.0,1775.0,Oxford/AstraZeneca
Saint Helena,4572.0,1009.0,Oxford/AstraZeneca
Albania,6728.0,655.0,"Pfizer/BioNTech, Sinovac"
Guyana,73600.0,600.0,Oxford/AstraZeneca
Dominica,18423.0,475.0,Oxford/AstraZeneca
Montserrat,1751.0,467.0,Oxford/AstraZeneca
Gabon,5762.0,400.0,Sinopharm/Beijing
Namibia,4748.0,128.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
Ukraine,508049.0,5.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
